"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"131","00AHGR",42.2,7.9,34.8,1
"132","00AHGS",13.8,6.6,16.2,1
"133","00AHGT",7.6,4.4,12.9,1.2
"134","00AHGU",6.7,2.9,15.1,1.5
"135","00AHGW",27.1,9.9,18.9,0.6
"136","00AHGX",2,2.7,15.2,1.5
"137","00AHGY",18.5,4.7,19.1,1.2
"138","00AHGZ",20.7,9.6,15.9,0.7
"139","00AHHA",19.7,11.3,18.7,0.7
"140","00AHHB",20.6,7.7,16.6,0.9
"141","00AHHC",25.5,6.8,19.1,0.8
"142","00AHHD",15.7,7.9,17.9,0.8
"143","00AHHE",19.8,8.4,17.1,0.8
"144","00AJGC",23.3,6.6,14.3,0.7
"145","00AJGD",21.5,5.6,13.1,0.9
"146","00AJGE",28.4,8.9,23.5,1
"147","00AJGF",11,3.4,7.3,0.8
"148","00AJGG",14.6,4.8,10.8,0.9
"149","00AJGH",22.1,7.8,15,0.7
"150","00AJGJ",20.2,5.9,15.1,0.8
"151","00AJGK",23.4,7.6,21.9,0.9
"152","00AJGL",9.7,4.8,17.8,1.1
"153","00AJGM",4.7,3.3,9.2,1
"154","00AJGN",25.2,5.6,18.2,0.9
"155","00AJGP",7.3,6.1,19.8,1.3
"156","00AJGQ",6.7,2.6,8.7,0.9
"157","00AJGR",8.3,3.8,16.9,1.2
"158","00AJGS",24.2,7.8,21.5,0.9
"159","00AJGT",34.5,9.4,25.1,0.9
"160","00AJGU",34.7,10.1,21.8,1.1
"161","00AJGW",8.5,5,17.4,1.1
"162","00AJGX",33.9,7.3,16.2,0.7
"163","00AJGY",16.4,8.5,23.8,0.9
"164","00AJGZ",13.6,10.9,23.6,0.9
"165","00AJHA",9.8,3.1,9,0.8
"166","00AJHB",12,3.6,10.2,0.8
"167","00AKGL",10.7,6.8,16.7,0.8
"168","00AKGM",5.2,4.1,20.4,1.3
"169","00AKGN",21.3,6.5,22.4,1.1
"170","00AKGP",12,4.3,19,1.3
"171","00AKGQ",43.1,19.6,30.5,0.6
"172","00AKGR",24.4,9.6,30.1,1
"173","00AKGS",22.7,11,26.5,0.9
"174","00AKGT",3.4,3.1,16.1,1.3
"175","00AKGU",19.5,11,27.2,0.8
"176","00AKGW",7.4,3.3,18.7,1.2
"177","00AKGX",15.5,9.1,28.5,1
"178","00AKGY",27.4,11.5,28.5,0.7
"179","00AKGZ",9,5.7,20.6,1
"180","00AKHA",25.6,13.7,26.9,0.8
"181","00AKHB",24,8.1,24.6,0.9
"182","00AKHC",7.4,4.6,16.1,1.1
"183","00AKHD",12,4.3,16.3,1.1
"184","00AKHE",6.1,3.8,17.4,1.2
"185","00AKHF",26.3,9.5,30.2,1
"186","00AKHG",29.8,11.7,28.3,0.8
"187","00AKHH",6.4,3.9,15.4,1.2
"188","00ALGP",38.9,9,25.3,0.7
"189","00ALGQ",22.4,3.4,12.1,0.8
"190","00ALGR",41.1,7.4,20.8,0.7
"191","00ALGS",23.5,4.9,25.4,1.1
"192","00ALGT",17,4.1,20,1.1
"193","00ALGU",22.4,5.5,21.5,1
"194","00ALGW",44.1,6.2,30.8,0.9
"195","00ALGX",41.4,10.5,21.4,0.6
"196","00ALGY",35.7,5.4,12.8,0.6
"197","00ALGZ",32.1,6.8,23.7,0.9
"198","00ALHA",37.3,7.9,25.5,0.9
"199","00ALHB",30.6,4.1,15,0.6
"200","00ALHC",27.3,11,21.6,0.7
"201","00ALHD",19.5,5.9,19.4,1
"202","00ALHE",38,9.3,18.7,0.7
"203","00ALHF",50,13.4,21.8,0.6
"204","00ALHG",50,10.4,19.9,0.5
"205","00AMGA",32,6,14.1,0.4
"206","00AMGB",33.8,9.9,23.5,0.4
"207","00AMGC",51,14.1,21.1,0.4
"208","00AMGD",34,5.6,14.3,0.5
"209","00AMGE",38.9,12,15.9,0.4
