"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"567","00BHGC",13.6,7.4,19.3,0.8
"568","00BHGD",9.1,7.1,15.7,0.6
"569","00BHGE",18.8,6.8,20,1.1
"570","00BHGF",24.7,7,26.2,1.1
"571","00BHGG",19,8.3,18.3,0.6
"572","00BHGH",33.6,11.5,23.7,0.7
"573","00BHGJ",27,11.5,19,0.6
"574","00BHGK",17.4,6.6,26.2,1.1
"575","00BHGL",18.4,11.9,23,0.6
"576","00BHGM",34.5,12.5,21.1,0.6
"577","00BHGN",15.4,7.5,15.1,0.7
"578","00BHGP",24.4,11.3,20.8,0.6
"579","00BHGQ",17.9,8.1,26.1,1.1
"580","00BHGR",21.4,9,20.4,0.6
"581","00BHGS",30.9,9.8,20.8,0.7
"582","00BJFZ",10.9,2.4,7.1,0.7
"583","00BJGA",16.1,2.9,9.1,0.7
"584","00BJGB",21.7,3.1,11.9,0.7
"585","00BJGC",11.3,2.2,7.9,0.7
"586","00BJGD",15.2,2.4,8.5,0.7
"587","00BJGE",16.8,6.5,15.5,0.7
"588","00BJGF",17.8,5.2,14.7,0.6
"589","00BJGG",47,8.2,17.9,0.4
"590","00BJGH",13.1,2.7,8.9,0.7
"591","00BJGJ",13.6,2.3,6.7,0.8
"592","00BJGK",30.7,4.6,11.9,0.5
"593","00BJGL",46,8.3,18.2,0.6
"594","00BJGM",21.8,4.8,11.4,0.7
"595","00BJGN",22.6,2.8,10.9,0.6
"596","00BJGP",14.7,2.8,10.1,0.7
"597","00BJGQ",7.5,1.3,6.3,0.8
"598","00BJGR",18,5.7,14.4,0.6
"599","00BJGS",12.6,2.1,11,1
"600","00BJGT",23.6,4.7,14.3,0.8
"601","00BJGU",22.9,3.8,14.5,0.8
"602","00BKGA",9.1,2.4,10,0.7
"603","00BKGB",20.4,4.4,7.5,0.4
"604","00BKGC",7.8,3.3,8.2,0.4
"605","00BKGD",49.8,6.8,19.1,0.4
"606","00BKGE",55.8,12.4,28.1,0.3
"607","00BKGF",43.4,10.4,18.4,0.4
"608","00BKGG",9.8,2.9,11.1,0.5
"609","00BKGH",3.9,0.4,5.7,0.9
"610","00BKGJ",10.5,3.4,7.1,0.4
"611","00BKGK",18.5,3.7,11.5,0.6
"612","00BKGL",24.5,4.6,13.2,0.5
"613","00BKGM",9.9,1.3,5.8,0.5
"614","00BKGN",55.4,13.7,22.6,0.4
"615","00BKGP",19.1,2.2,13,0.6
"616","00BKGQ",28,6.1,10.7,0.4
"617","00BKGR",29.3,2.7,12.5,0.4
"618","00BKGS",34.5,4.3,11.7,0.4
"619","00BKGT",28.2,4,9.4,0.5
"620","00BKGU",48.5,10,22.4,0.4
"621","00BKGW",23.5,3.4,9.6,0.4
